Date,Production,Plantation,Lag3_Plantation,Milho_Price,Soya_Price,Interest_Rate
1/1/2012,0.0,0.0,,272.84,498.0,9.8589
2/1/2012,30.822400000000002,0.0,,279.46,512.0,9.3174
3/1/2012,87.36875789473685,0.0,,280.69,543.0,8.9862
4/1/2012,315.8385563909775,0.0,0.0,274.0,575.0,8.4999
5/1/2012,94.35428571428571,0.0,0.0,269.28,573.0,7.9716
6/1/2012,0.0,0.0,0.0,267.31,567.0,7.6076
7/1/2012,0.0,0.0,0.0,333.05,662.0,7.2953
8/1/2012,0.0,0.0,0.0,331.99,684.0,8.277000000000001
9/1/2012,0.0,0.0,0.0,320.85,670.0,7.5788
10/1/2012,0.0,0.0,0.0,321.24,617.0,7.2399
11/1/2012,0.0,373.0,0.0,321.64,589.0,7.1409
12/1/2012,0.0,0.0,0.0,308.65,607.0,7.0357
1/1/2013,0.0,0.0,0.0,303.13,592.0,7.3737
2/1/2013,0.0,0.0,373.0,302.74,596.0,7.8862
3/1/2013,596.8000000000001,0.0,0.0,309.04,511.0,8.0275
4/1/2013,136.76666666666665,0.0,0.0,279.91,495.0,7.7476
5/1/2013,12.43333333333328,0.0,0.0,295.54,497.0,8.0224
6/1/2013,0.0,0.0,0.0,298.41,524.0,8.6295
7/1/2013,0.0,0.0,0.0,279.51,509.0,9.01
8/1/2013,0.0,0.0,0.0,238.74,516.0,10.2779
9/1/2013,0.0,0.0,0.0,207.41,556.0,10.1777
10/1/2013,0.0,12.633333333333333,0.0,201.73,544.0,9.9838
11/1/2013,0.0,347.4166666666667,0.0,199.13,553.0,10.1783
12/1/2013,0.0,18.94999999999999,0.0,197.39,568.0,10.5595
1/1/2014,0.0,0.0,12.633333333333333,198.06,566.0,11.9399
2/1/2014,0.0,0.0,347.4166666666667,209.32,591.0,11.2757
3/1/2014,360.70188,0.0,18.94999999999999,222.33,500.0,11.5092
4/1/2014,498.11211999999995,0.0,0.0,222.36,516.0,11.3251
5/1/2014,0.0,0.0,0.0,217.3,521.25,11.1667
6/1/2014,0.0,0.0,0.0,202.39,516.0,10.9004
7/1/2014,0.0,0.0,0.0,182.73,480.0,10.9307
8/1/2014,0.0,0.0,0.0,176.42,460.0,11.3251
9/1/2014,0.0,0.0,0.0,163.06,432.0,11.6598
10/1/2014,0.0,0.0,0.0,163.12,424.0,11.6777
11/1/2014,0.0,313.02352941176474,0.0,178.74,449.0,11.8799
12/1/2014,0.0,67.07647058823528,0.0,178.73,446.0,12.8928
1/1/2015,0.0,0.0,0.0,174.71,433.21,12.6768
2/1/2015,0.0,0.0,313.02352941176474,173.7,423.55,13.2199
3/1/2015,115.3875,0.0,67.07647058823528,174.23,409.79,13.674000000000001
4/1/2015,312.2250000000001,0.0,0.0,172.05,394.73,13.6275
5/1/2015,511.4580882352941,0.0,0.0,166.29,388.2,13.79
6/1/2015,11.179411764705833,0.0,0.0,166.72,391.48,14.0799
7/1/2015,0.0,0.0,0.0,179.6,405.87,14.165
8/1/2015,0.0,0.0,0.0,162.59,378.78,14.2725
9/1/2015,0.0,0.0,0.0,165.62,367.49,15.2022
10/1/2015,0.0,8.051999999999998,0.0,171.39,375.95,15.2552
11/1/2015,0.0,196.77957894736835,0.0,166.16,368.0,15.3218
12/1/2015,0.0,63.56842105263158,0.0,163.95,368.42,14.6346
1/1/2016,0.0,0.0,8.051999999999998,161.03,373.08,14.634
2/1/2016,0.0,0.0,196.77957894736835,159.68,373.75,13.554
3/1/2016,66.96771714285715,0.0,63.56842105263158,159.14,380.97,13.8614
4/1/2016,319.38449714285713,0.0,0.0,164.41,395.14,13.935
5/1/2016,290.45761340659357,0.0,0.0,168.96,422.55,13.9821
6/1/2016,42.12725105769232,0.0,0.0,179.87,457.4,13.614
7/1/2016,2.2537212499998986,0.0,0.0,161.76,431.08,13.690999999999999
8/1/2016,0.0,0.0,0.0,150.15,412.17,13.6674
9/1/2016,0.0,0.0,0.0,148.43,403.53,13.3671
10/1/2016,0.0,8.9792,0.0,152.26,401.87,12.5727
11/1/2016,0.0,152.83132631578948,0.0,151.8,397.76,12.3966
12/1/2016,0.0,57.78947368421055,0.0,152.45,416.07,12.27
1/1/2017,0.0,73.19999999999999,8.9792,159.99,412.0,10.7447
2/1/2017,4.965888,0.0,152.83132631578948,162.86,394.53,10.0616
3/1/2017,65.38419200000001,0.0,57.78947368421055,158.96,383.68,10.2771
4/1/2017,572.5550628571428,0.0,73.19999999999999,156.44,387.44,9.8839
5/1/2017,540.1446453781514,0.0,0.0,158.59,389.72,11.0799
6/1/2017,58.42221176470571,0.0,0.0,157.93,378.59,11.7515
7/1/2017,0.0,0.0,0.0,157.51,410.23,9.5267
8/1/2017,0.0,0.0,0.0,148.5,392.87,7.6146
9/1/2017,0.0,0.0,0.0,147.29,393.95,7.1322
10/1/2017,0.0,5.980769230769231,0.0,148.62,396.52,7.0838
11/1/2017,0.0,45.11208791208791,0.0,148.7,393.85,6.8020000000000005
12/1/2017,0.0,79.43290043290044,0.0,148.98,387.15,6.7314
1/1/2018,0.0,135.7679924242424,5.980769230769231,155.84,389.53,9.2838
2/1/2018,0.0,44.70625000000001,45.11208791208791,163.36,416.28,6.6976
3/1/2018,34.50500571428571,0.0,79.43290043290044,172.0,430.11,6.1764
4/1/2018,82.2369302857143,0.0,135.7679924242424,175.6,439.07,6.14
5/1/2018,756.666021142857,0.0,44.70625000000001,179.09,430.32,6.4489
6/1/2018,496.0094571428572,0.0,0.0,165.07,394.44,10.074
7/1/2018,140.1765857142857,0.0,0.0,156.46,377.17,6.9472
8/1/2018,0.0,0.0,0.0,162.37,376.77,8.1955
9/1/2018,0.0,0.0,0.0,154.8,356.87,7.8964
10/1/2018,0.0,0.0,0.0,160.26,367.96,7.1172
11/1/2018,0.0,19.146818181818183,0.0,160.69,374.04,6.4022
12/1/2018,0.0,91.7031818181818,0.0,167.44,380.53,6.3324
1/1/2019,0.0,22.860117719502398,0.0,166.74,382.35,6.4995
2/1/2019,0.0,3.9785098923213797,19.146818181818183,169.52,380.75,6.5843
3/1/2019,0.0,0.0,91.7031818181818,170.79959271010298,363.803071324242,5.910311887362631
4/1/2019,0.0,0.0,22.860117719502398,169.77749508851102,369.51807217983804,6.411489078073469
5/1/2019,0.0,0.0,3.9785098923213797,169.929585606075,370.63768379245005,5.983559877051059
6/1/2019,0.0,0.0,0.0,168.576985187654,369.65859785761705,6.74214324047129
7/1/2019,0.0,0.0,0.0,171.254936037046,375.94162402083504,5.840935944235441
8/1/2019,0.0,0.0,0.0,163.019992693414,373.153579417723,5.96477314473763
9/1/2019,0.0,0.0,0.0,157.524338264814,367.679791222964,5.55932386833838
10/1/2019,0.0,1.12121711135635,0.0,159.0916792597,361.18066873260597,5.4527880737359
11/1/2019,0.0,38.2432737648272,0.0,160.296268169499,363.07582677412995,5.78982606652536
12/1/2019,0.0,61.42721768015329,0.0,157.71875686535,369.576379599759,5.56342277491543
