Date,Production,Plantation,Lag3_Plantation
1/1/2012,1682.639829717243,0.0,
2/1/2012,2470.212416064014,0.0,
3/1/2012,5558.839954002179,0.0,
4/1/2012,1106.481248576738,0.0,0.0
5/1/2012,123.67835163982454,0.0,0.0
6/1/2012,0.0,0.0,0.0
7/1/2012,0.0,0.0,0.0
8/1/2012,0.0,0.0,0.0
9/1/2012,0.0,634.3415914205283,0.0
10/1/2012,0.0,2292.0673441018375,0.0
11/1/2012,0.0,1665.2249802302422,0.0
12/1/2012,0.0,161.16608424739206,634.3415914205283
1/1/2013,1298.220173371504,0.0,2292.0673441018375
2/1/2013,5247.389639808638,0.0,1665.2249802302422
3/1/2013,6974.418879774875,0.0,161.16608424739206
4/1/2013,2209.647584005088,0.0,0.0
5/1/2013,182.69812303989784,0.0,0.0
6/1/2013,0.0,0.0,0.0
7/1/2013,0.0,0.0,0.0
8/1/2013,0.0,0.0,0.0
9/1/2013,0.0,444.32212158682853,0.0
10/1/2013,0.0,2540.2534515754683,0.0
11/1/2013,0.0,1853.2435185455197,0.0
12/1/2013,0.0,172.58090829218418,444.32212158682853
1/1/2014,776.2150699207785,0.0,2540.2534515754683
2/1/2014,6475.211327229166,0.0,1853.2435185455197
3/1/2014,5171.117060201689,0.0,172.58090829218418
4/1/2014,2136.445663185552,0.0,0.0
5/1/2014,221.69087946280888,0.0,0.0
6/1/2014,0.0,0.0,0.0
7/1/2014,0.0,0.0,0.0
8/1/2014,0.0,0.0,0.0
9/1/2014,0.0,532.1224191270996,0.0
10/1/2014,0.0,2834.7178913487724,0.0
11/1/2014,0.0,1825.8518662211518,0.0
12/1/2014,0.0,32.10782330297661,532.1224191270996
1/1/2015,2588.8396268487986,0.0,2834.7178913487724
2/1/2015,3952.197766893697,0.0,1825.8518662211518
3/1/2015,6467.727165879489,0.0,32.10782330297661
4/1/2015,4037.121789664052,0.0,0.0
5/1/2015,164.60485071396397,0.0,0.0
6/1/2015,0.0,0.0,0.0
7/1/2015,0.0,0.0,0.0
8/1/2015,0.0,0.0,0.0
9/1/2015,0.0,839.3911568870509,0.0
10/1/2015,0.0,2109.7815038770027,0.0
11/1/2015,0.0,2349.413492572496,0.0
12/1/2015,0.0,152.71384666345057,839.3911568870509
1/1/2016,3168.6889713803284,0.0,2109.7815038770027
2/1/2016,6104.528844095095,0.0,2349.413492572496
3/1/2016,4856.629754694874,0.0,152.71384666345057
4/1/2016,2686.1886496109382,0.0,0.0
5/1/2016,290.1431802187617,0.0,0.0
6/1/2016,0.0,0.0,0.0
7/1/2016,0.0,0.0,0.0
8/1/2016,0.0,0.0,0.0
9/1/2016,0.0,874.9846022930401,0.0
10/1/2016,0.0,2856.2281514985075,0.0
11/1/2016,0.0,971.8453092275086,0.0
12/1/2016,0.0,526.5628526460478,874.9846022930401
1/1/2017,1001.2806315361203,19.97908433489647,2856.2281514985075
2/1/2017,7278.709999827045,0.0,971.8453092275086
3/1/2017,8626.90508341166,0.0,526.5628526460478
4/1/2017,2485.0798867281337,0.0,19.97908433489647
5/1/2017,325.5219984970463,0.0,0.0
6/1/2017,0.0,0.0,0.0
7/1/2017,0.0,0.0,0.0
8/1/2017,0.0,0.0,0.0
9/1/2017,0.0,970.2920130321377,0.0
10/1/2017,0.0,2584.5633660932117,0.0
11/1/2017,0.0,1739.172386499596,0.0
12/1/2017,0.0,170.77223437505472,970.2920130321377
1/1/2018,113.27053180039499,0.0,2584.5633660932117
2/1/2018,5500.814508852476,0.0,1739.172386499596
3/1/2018,10384.547474129962,0.0,170.77223437505472
4/1/2018,3081.87317256966,0.0,0.0
5/1/2018,199.30871264751113,0.0,0.0
6/1/2018,0.0,0.0,0.0
7/1/2018,0.0,0.0,0.0
8/1/2018,0.0,0.0,0.0
9/1/2018,0.0,664.5030572913682,0.0
10/1/2018,0.0,3291.1947551095786,0.0
11/1/2018,0.0,1409.449836963558,0.0
12/1/2018,0.0,139.65235063549517,664.5030572913682
1/1/2019,3642.80467755109,0.5772551644839581,3291.1947551095786
2/1/2019,5186.115558450614,0.0,1409.449836963558
3/1/2019,5282.551350744552,0.0822289395808657,139.65235063549517
4/1/2019,2766.2761099653308,0.0,0.5772551644839581
5/1/2019,0.0,0.0102985698476781,0.0
6/1/2019,0.0,0.0,0.0822289395808657
7/1/2019,0.0,0.0,0.0
8/1/2019,0.0,0.0,0.0102985698476781
9/1/2019,0.0,807.4365108053239,0.0
10/1/2019,0.0,2898.554956717,0.0
11/1/2019,0.0,1177.72193992256,0.0
12/1/2019,0.0,281.112856567736,807.4365108053239
