Date,Production,Plantation,Interest_Rate,Lag3_Milho_Price
1/1/2012,18.488539999999997,0.0,9.8589,274.79
2/1/2012,235.728885,0.0,9.3174,274.39
3/1/2012,184.8854,0.0,8.9862,258.65
4/1/2012,23.110674999999958,0.0,8.4999,272.84
5/1/2012,0.0,0.0,7.9716,279.46
6/1/2012,0.0,0.0,7.6076,280.69
7/1/2012,0.0,0.0,7.2953,274.0
8/1/2012,0.0,0.0,8.277000000000001,269.28
9/1/2012,0.0,6.707999999999999,7.5788,267.31
10/1/2012,0.0,85.527,7.2399,333.05
11/1/2012,0.0,72.11099999999998,7.1409,331.99
12/1/2012,0.0,3.3540000000000134,7.0357,320.85
1/1/2013,80.89847999999998,0.0,7.3737,321.24
2/1/2013,227.28620571428567,0.0,7.8862,321.64
3/1/2013,225.74528228571427,0.0,8.0275,308.65
4/1/2013,5.393231999999898,0.0,7.7476,303.13
5/1/2013,0.0,0.0,8.0224,302.74
6/1/2013,0.0,0.0,8.6295,309.04
7/1/2013,0.0,0.0,9.01,279.91
8/1/2013,0.0,0.0,10.2779,295.54
9/1/2013,0.0,19.11,10.1777,298.41
10/1/2013,0.0,105.105,9.9838,279.51
11/1/2013,0.0,66.88499999999999,10.1783,238.74
12/1/2013,0.0,0.0,10.5595,207.41
1/1/2014,0.0,0.0,11.9399,201.73
2/1/2014,201.2999625,0.0,11.2757,199.13
3/1/2014,315.24333750000005,0.0,11.5092,197.39
4/1/2014,91.15469999999993,0.0,11.3251,198.06
5/1/2014,0.0,0.0,11.1667,209.32
6/1/2014,0.0,0.0,10.9004,222.33
7/1/2014,0.0,0.0,10.9307,222.36
8/1/2014,0.0,0.0,11.3251,217.3
9/1/2014,0.0,6.944999999999999,11.6598,202.39
10/1/2014,0.0,67.135,11.6777,182.73
11/1/2014,0.0,126.7802941176471,11.8799,176.42
12/1/2014,0.0,30.6397058823529,12.8928,163.06
1/1/2015,83.76331428571429,0.0,12.6768,163.12
2/1/2015,355.9940857142857,0.0,13.2199,178.74
3/1/2015,254.0820533333333,0.0,13.674000000000001,178.73
4/1/2015,39.089546666666706,0.0,13.6275,174.71
5/1/2015,0.0,0.0,13.79,173.7
6/1/2015,0.0,0.0,14.0799,174.23
7/1/2015,0.0,0.0,14.165,172.05
8/1/2015,0.0,0.0,14.2725,166.29
9/1/2015,0.0,5.052,15.2022,166.72
10/1/2015,0.0,95.988,15.2552,179.6
11/1/2015,0.0,151.56,15.3218,162.59
12/1/2015,0.0,0.0,14.6346,165.62
1/1/2016,72.71091000000001,0.0,14.634,171.39
2/1/2016,309.97809,0.0,13.554,166.16
3/1/2016,338.9531142857143,0.0,13.8614,163.95
4/1/2016,43.7358857142857,0.0,13.935,161.03
5/1/2016,0.0,0.0,13.9821,159.68
6/1/2016,0.0,0.0,13.614,159.14
7/1/2016,0.0,0.0,13.690999999999999,164.41
8/1/2016,0.0,0.0,13.6674,168.96
9/1/2016,0.0,5.92,13.3671,179.87
10/1/2016,0.0,145.04000000000002,12.5727,161.76
11/1/2016,0.0,140.36631578947365,12.3966,150.15
12/1/2016,0.0,4.673684210526346,12.27,148.43
1/1/2017,166.5,0.0,10.7447,152.26
2/1/2017,486.17999999999995,0.0,10.0616,151.8
3/1/2017,263.5583999999999,0.0,10.2771,152.45
4/1/2017,16.161600000000135,0.0,9.8839,159.99
5/1/2017,0.0,0.0,11.0799,162.86
6/1/2017,0.0,0.0,11.7515,158.96
7/1/2017,0.0,0.0,9.5267,156.44
8/1/2017,0.0,0.0,7.6146,158.59
9/1/2017,0.0,16.680000000000003,7.1322,157.93
10/1/2017,0.0,152.68615384615384,7.0838,157.51
11/1/2017,0.0,154.70241758241758,6.8020000000000005,148.5
12/1/2017,0.0,9.531428571428592,6.7314,147.29
1/1/2018,188.7222857142857,0.0,9.2838,148.62
2/1/2018,471.8057142857142,0.0,6.6976,148.7
3/1/2018,430.91588571428576,0.0,6.1764,148.98
4/1/2018,9.436114285714211,0.0,6.14,155.84
5/1/2018,0.0,0.0,6.4489,163.36
6/1/2018,0.0,0.0,10.074,172.0
7/1/2018,0.0,0.0,6.9472,175.6
8/1/2018,0.0,0.0,8.1955,179.09
9/1/2018,0.0,20.128,7.8964,165.07
10/1/2018,0.0,212.23771428571428,7.1172,156.46
11/1/2018,0.0,98.73246753246755,6.4022,162.37
12/1/2018,0.0,22.50181818181818,6.3324,154.8
1/1/2019,270.71616,0.28482160463385603,6.4995,160.26
2/1/2019,688.3266000000001,0.236710728015957,6.5843,160.69
3/1/2019,242.47993714285735,0.29532914333012,5.910311887362631,167.44
4/1/2019,29.005302857142624,0.264095018262142,6.411489078073469,166.74
5/1/2019,0.0,0.327267137788039,5.983559877051059,169.52
6/1/2019,0.0,0.298818601432169,6.74214324047129,170.79959271010298
7/1/2019,0.0,0.269361816842344,5.840935944235441,169.77749508851102
8/1/2019,0.0,0.21558485817449,5.96477314473763,169.929585606075
9/1/2019,0.0,14.0915896758524,5.55932386833838,168.576985187654
10/1/2019,0.0,259.443351669663,5.4527880737359,171.254936037046
11/1/2019,0.0,285.358407417119,5.78982606652536,163.019992693414
12/1/2019,0.0,7.895003689953179,5.56342277491543,157.524338264814
