Date,Plantation,Lag1_Milho_Price,Interest_Rate,Lag3_Soya_Price
1/1/2012,0.0,258.65,9.8589,503.0
2/1/2012,0.0,272.84,9.3174,486.0
3/1/2012,0.0,279.46,8.9862,474.0
4/1/2012,0.0,280.69,8.4999,498.0
5/1/2012,0.0,274.0,7.9716,512.0
6/1/2012,0.0,269.28,7.6076,543.0
7/1/2012,0.0,267.31,7.2953,575.0
8/1/2012,0.0,333.05,8.277000000000001,573.0
9/1/2012,0.0,331.99,7.5788,567.0
10/1/2012,89.73300000000002,320.85,7.2399,662.0
11/1/2012,871.692,321.24,7.1409,684.0
12/1/2012,320.475,321.64,7.0357,670.0
1/1/2013,0.0,308.65,7.3737,617.0
2/1/2013,0.0,303.13,7.8862,589.0
3/1/2013,0.0,302.74,8.0275,607.0
4/1/2013,0.0,309.04,7.7476,592.0
5/1/2013,0.0,279.91,8.0224,596.0
6/1/2013,0.0,295.54,8.6295,511.0
7/1/2013,0.0,298.41,9.01,495.0
8/1/2013,0.0,279.51,10.2779,497.0
9/1/2013,0.0,238.74,10.1777,524.0
10/1/2013,10.257944003662521,207.41,9.9838,509.0
11/1/2013,646.0920559963375,201.73,10.1783,516.0
12/1/2013,656.35,199.13,10.5595,556.0
1/1/2014,0.0,197.39,11.9399,544.0
2/1/2014,0.0,198.06,11.2757,553.0
3/1/2014,0.0,209.32,11.5092,568.0
4/1/2014,0.0,222.33,11.3251,566.0
5/1/2014,0.0,222.36,11.1667,591.0
6/1/2014,0.0,217.3,10.9004,500.0
7/1/2014,0.0,202.39,10.9307,516.0
8/1/2014,0.0,182.73,11.3251,521.25
9/1/2014,0.0,176.42,11.6598,516.0
10/1/2014,16.6680897762468,163.06,11.6777,480.0
11/1/2014,941.0907337531651,163.12,11.8799,460.0
12/1/2014,464.24117647058813,178.74,12.8928,432.0
1/1/2015,0.0,178.73,12.6768,424.0
2/1/2015,0.0,174.71,13.2199,449.0
3/1/2015,0.0,173.7,13.674000000000001,446.0
4/1/2015,0.0,174.23,13.6275,433.21
5/1/2015,0.0,172.05,13.79,423.55
6/1/2015,0.0,166.29,14.0799,409.79
7/1/2015,0.0,166.72,14.165,394.73
8/1/2015,0.0,179.6,14.2725,388.2
9/1/2015,0.0,162.59,15.2022,391.48
10/1/2015,15.269000000000002,165.62,15.2552,405.87
11/1/2015,1100.100786856705,171.39,15.3218,378.78
12/1/2015,411.530213143295,166.16,14.6346,367.49
1/1/2016,0.0,163.95,14.634,375.95
2/1/2016,0.0,161.03,13.554,368.0
3/1/2016,0.0,159.68,13.8614,368.42
4/1/2016,0.0,159.14,13.935,373.08
5/1/2016,0.0,164.41,13.9821,373.75
6/1/2016,0.0,168.96,13.614,380.97
7/1/2016,0.0,179.87,13.690999999999999,395.14
8/1/2016,0.0,161.76,13.6674,422.55
9/1/2016,0.0,150.15,13.3671,457.4
10/1/2016,22.1242,148.43,12.5727,431.08
11/1/2016,847.66836948304,152.26,12.3966,412.17
12/1/2016,652.7366580391796,151.8,12.27,403.53
1/1/2017,57.77077247778038,152.45,10.7447,401.87
2/1/2017,0.0,159.99,10.0616,397.76
3/1/2017,0.0,162.86,10.2771,416.07
4/1/2017,0.0,158.96,9.8839,412.0
5/1/2017,0.0,156.44,11.0799,394.53
6/1/2017,0.0,158.59,11.7515,383.68
7/1/2017,0.0,157.93,9.5267,387.44
8/1/2017,0.0,157.51,7.6146,389.72
9/1/2017,0.0,148.5,7.1322,378.59
10/1/2017,49.20923076923077,147.29,7.0838,410.23
11/1/2017,1079.8221105290488,148.62,6.8020000000000005,392.87
12/1/2017,470.26865870172037,148.7,6.7314,393.95
1/1/2018,0.0,148.98,9.2838,396.52
2/1/2018,0.0,155.84,6.6976,393.85
3/1/2018,0.0,163.36,6.1764,387.15
4/1/2018,0.0,172.0,6.14,389.53
5/1/2018,0.0,175.6,6.4489,416.28
6/1/2018,0.0,179.09,10.074,430.11
7/1/2018,0.0,165.07,6.9472,439.07
8/1/2018,0.0,156.46,8.1955,430.32
9/1/2018,0.0,162.37,7.8964,394.44
10/1/2018,56.40357142857143,154.8,7.1172,377.17
11/1/2018,1140.2379871136034,160.26,6.4022,376.77
12/1/2018,382.6584414578251,160.69,6.3324,356.87
1/1/2019,0.0,167.44,6.4995,367.96
2/1/2019,0.0,166.74,6.5843,374.04
3/1/2019,0.0,169.52,5.910311887362631,380.53
4/1/2019,0.0,170.79959271010298,6.411489078073469,382.35
5/1/2019,0.0,169.77749508851102,5.983559877051059,380.75
6/1/2019,0.0,169.929585606075,6.74214324047129,363.803071324242
7/1/2019,0.0,168.576985187654,5.840935944235441,369.51807217983804
8/1/2019,0.0,171.254936037046,5.96477314473763,370.63768379245005
9/1/2019,0.0,163.019992693414,5.55932386833838,369.65859785761705
10/1/2019,0.0,157.524338264814,5.4527880737359,375.94162402083504
11/1/2019,0.0,159.0916792597,5.78982606652536,373.153579417723
12/1/2019,0.0,160.296268169499,5.56342277491543,367.679791222964
